,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,zipcode,lat,long,sqft_lot15,geo_loc,distance
6637,639500.0,4,2.25,2330,8994,2.0,0.0,0.0,3,8,1986,98052,47.726,-122.104,8396,"(47.726, -122.104)",13.5844
6638,580379.0,4,2.75,2240,27820,1.5,0.0,0.0,4,8,1976,98075,47.594,-122.054,20000,"(47.594, -122.054)",14.001
6639,378000.0,2,2.5,1700,2513,2.0,0.0,0.0,3,8,2009,98065,47.516,-121.878,2891,"(47.516, -121.878)",23.2633
6641,212000.0,3,1.75,1100,9750,1.0,0.0,0.0,4,6,1967,98023,47.295,-122.362,9900,"(47.295, -122.362)",22.5918
6644,384900.0,5,2.5,3090,12750,1.0,0.0,0.0,3,8,1968,98023,47.341,-122.335,25919,"(47.341, -122.335)",19.424
6645,176000.0,2,1.0,770,5200,1.0,0.0,0.0,5,6,1969,98042,47.363,-122.087,5330,"(47.363, -122.087)",21.7417
6647,168000.0,3,1.0,1200,7210,1.0,0.0,0.0,4,6,1977,98030,47.373,-122.183,7650,"(47.373, -122.183)",18.9147
6649,580000.0,3,2.75,2660,32757,1.0,0.0,0.0,4,8,1975,98077,47.765,-122.098,35191,"(47.765, -122.098)",15.3937
6652,554000.0,5,2.5,3440,12900,1.0,0.0,2.0,4,8,1958,98166,47.443,-122.342,10751,"(47.443, -122.342)",12.3691
6653,659000.0,3,2.5,2510,6320,2.0,0.0,0.0,3,9,1996,98075,47.587,-122.033,5819,"(47.587, -122.033)",15.0415
6654,414999.0,4,2.5,2150,10098,1.0,0.0,0.0,3,7,1963,98034,47.717,-122.201,10000,"(47.717, -122.201)",9.6094
6655,275000.0,3,1.5,1180,10277,1.0,0.0,0.0,3,6,1983,98045,47.488,-121.787,11104,"(47.488, -121.787)",27.9098
6656,193000.0,2,1.0,680,8640,1.0,0.0,0.0,4,5,1951,98188,47.456,-122.289,13140,"(47.456, -122.289)",11.8298
6657,525000.0,4,2.5,2840,4750,2.0,0.0,0.0,3,9,2002,98058,47.451,-122.121,4750,"(47.451, -122.121)",15.9761
6658,424000.0,3,2.5,1820,7500,2.0,0.0,0.0,3,8,1985,98052,47.715,-122.104,8304,"(47.715, -122.104)",13.1988
6659,455000.0,2,1.0,1070,5150,1.0,0.0,0.0,4,6,1908,98117,47.685,-122.366,3860,"(47.685, -122.366)",4.4103
6660,463000.0,2,1.0,1250,5650,2.0,0.0,1.0,4,7,1943,98126,47.55,-122.377,5650,"(47.55, -122.377)",5.1058
6661,1100000.0,4,2.5,2190,6300,1.0,0.0,3.0,3,7,1960,98033,47.692,-122.216,14659,"(47.692, -122.216)",7.9588
6662,523000.0,3,1.75,3000,5413,2.0,0.0,0.0,4,8,1963,98115,47.696,-122.312,5413,"(47.696, -122.312)",5.443
6663,615000.0,4,1.75,2270,9830,1.0,0.0,0.0,4,8,1959,98005,47.6,-122.176,11990,"(47.6, -122.176)",8.3228
6664,1520000.0,4,4.0,4500,11795,2.0,0.0,0.0,3,12,1991,98027,47.553,-122.098,11576,"(47.553, -122.098)",12.7451
6665,870000.0,5,4.0,3400,5000,2.0,0.0,0.0,3,8,1900,98107,47.666,-122.363,5000,"(47.666, -122.363)",3.0921
6666,710000.0,3,2.5,2830,9680,2.0,0.0,0.0,3,10,1991,98074,47.625,-122.024,8691,"(47.625, -122.024)",15.2621
6667,215000.0,3,1.0,960,9563,1.0,0.0,0.0,5,7,1967,98023,47.286,-122.357,9600,"(47.286, -122.357)",23.2098
6669,323000.0,5,2.5,2500,13034,1.0,0.0,0.0,3,7,1962,98092,47.334,-122.194,13300,"(47.334, -122.194)",21.2114
6670,279000.0,4,2.0,1560,7569,1.5,0.0,0.0,4,7,1966,98058,47.45,-122.155,8755,"(47.45, -122.155)",15.0085
6671,535100.0,3,2.25,2070,7207,1.0,0.0,0.0,3,8,1973,98177,47.773,-122.371,7980,"(47.773, -122.371)",10.4785
6672,830000.0,5,2.25,2710,19800,1.0,0.0,0.0,5,9,1959,98005,47.596,-122.175,16400,"(47.596, -122.175)",8.4233
6673,815000.0,4,2.5,3150,4203,2.0,0.0,0.0,3,9,2002,98033,47.688,-122.164,5169,"(47.688, -122.164)",9.8575
6674,535900.0,3,2.25,1880,10880,1.0,0.0,0.0,3,8,1975,98008,47.594,-122.116,10240,"(47.594, -122.116)",11.1475
6675,230000.0,3,1.0,1250,8800,1.0,0.0,0.0,3,7,1955,98146,47.497,-122.357,8200,"(47.497, -122.357)",8.6333
6676,325500.0,4,1.75,2290,8142,1.0,0.0,0.0,4,7,1969,98055,47.456,-122.211,8142,"(47.456, -122.211)",13.2084
6677,359000.0,3,2.25,1990,4331,2.0,0.0,0.0,3,7,1997,98056,47.492,-122.167,3688,"(47.492, -122.167)",12.4389
6678,505000.0,3,2.5,2100,5824,2.0,0.0,2.0,3,8,1999,98065,47.533,-121.867,4140,"(47.533, -121.867)",23.4119
6679,253905.0,3,1.0,940,8400,1.0,0.0,0.0,5,7,1958,98056,47.511,-122.167,8400,"(47.511, -122.167)",11.5263
6680,369950.0,3,1.75,1640,4860,1.0,0.0,0.0,3,8,1965,98125,47.712,-122.32,7200,"(47.712, -122.32)",6.3977
6681,350000.0,3,2.25,1860,8378,2.0,0.0,0.0,3,7,1995,98038,47.388,-122.032,8378,"(47.388, -122.032)",21.9963
6682,650000.0,4,2.25,2100,2500,3.0,0.0,0.0,3,8,2001,98115,47.673,-122.298,4000,"(47.673, -122.298)",4.3259
6684,620000.0,3,1.75,1680,28046,1.0,0.0,3.0,3,8,1948,98177,47.765,-122.37,26308,"(47.765, -122.37)",9.9238
6686,246000.0,3,1.0,1400,7410,1.0,0.0,0.0,3,6,1944,98166,47.48,-122.343,7410,"(47.48, -122.343)",9.8127
6687,430000.0,3,2.75,2600,12860,1.0,0.0,0.0,3,7,1965,98014,47.695,-121.918,12954,"(47.695, -121.918)",20.8058
6688,509990.0,3,2.0,1440,4859,2.0,0.0,0.0,2,6,1921,98118,47.55,-122.285,4558,"(47.55, -122.285)",5.8601
6690,385000.0,4,2.75,2960,10454,1.0,0.0,1.0,3,8,1979,98198,47.401,-122.322,10500,"(47.401, -122.322)",15.3255
6691,769000.0,4,2.5,2440,6733,2.0,0.0,0.0,3,9,1999,98074,47.637,-122.064,6496,"(47.637, -122.064)",13.4369
6692,185000.0,2,1.0,1122,9100,1.0,0.0,0.0,4,6,1960,98023,47.328,-122.341,9344,"(47.328, -122.341)",20.3127
6693,303500.0,3,1.5,1060,10464,1.0,0.0,0.0,4,7,1973,98034,47.731,-122.229,10464,"(47.731, -122.229)",9.4555
6695,449950.0,4,2.5,3100,10000,2.0,0.0,0.0,3,9,1978,98042,47.374,-122.15,9438,"(47.374, -122.15)",19.5455
6697,520000.0,4,2.5,2490,34947,2.0,0.0,0.0,3,9,1985,98027,47.482,-122.031,39639,"(47.482, -122.031)",17.807
6698,203000.0,2,1.0,1080,9067,1.0,0.0,0.0,3,6,1951,98168,47.481,-122.331,6647,"(47.481, -122.331)",9.783
6700,275000.0,3,1.0,1200,7800,1.0,0.0,0.0,4,7,1954,98126,47.52,-122.371,7070,"(47.52, -122.371)",7.0979
6702,455000.0,4,2.5,2950,4502,2.0,0.0,0.0,3,7,2005,98059,47.5,-122.151,4502,"(47.5, -122.151)",12.5898
6703,458500.0,2,1.75,1160,6828,1.0,0.0,0.0,3,7,1941,98115,47.694,-122.298,6828,"(47.694, -122.298)",5.5733
6704,549900.0,4,3.5,3420,4751,2.0,0.0,0.0,3,10,2003,98055,47.473,-122.193,5700,"(47.473, -122.193)",12.6736
6705,750000.0,3,1.75,2240,10578,2.0,0.0,0.0,5,8,1923,98115,47.695,-122.292,10578,"(47.695, -122.292)",5.7644
6706,235000.0,4,1.75,1450,8891,1.5,0.0,0.0,3,7,1962,98168,47.478,-122.278,9013,"(47.478, -122.278)",10.5198
6709,602000.0,4,1.75,2430,14000,1.0,0.0,0.0,4,7,1963,98052,47.655,-122.134,8285,"(47.655, -122.134)",10.39
6710,640000.0,3,1.5,1960,4080,1.5,0.0,0.0,3,7,1915,98115,47.677,-122.31,4080,"(47.677, -122.31)",4.2733
6712,712000.0,4,2.5,2730,4385,2.0,0.0,0.0,3,8,2001,98075,47.597,-122.038,4644,"(47.597, -122.038)",14.7135
6714,301000.0,2,1.0,910,9000,1.0,0.0,0.0,3,5,1923,98065,47.526,-121.81,9000,"(47.526, -121.81)",26.1051
6715,990000.0,4,2.5,2430,6325,2.0,0.0,0.0,4,8,1919,98109,47.641,-122.354,4375,"(47.641, -122.354)",1.324
6716,739999.0,4,2.75,3350,6500,2.0,0.0,0.0,3,10,1999,98075,47.584,-122.027,6970,"(47.584, -122.027)",15.3518
6718,305000.0,3,2.5,1260,1622,3.0,0.0,0.0,3,8,2009,98133,47.733,-122.343,1188,"(47.733, -122.343)",7.6869
6719,703300.0,3,2.0,1980,3525,1.5,0.0,0.0,4,8,1932,98117,47.685,-122.368,3760,"(47.685, -122.368)",4.4253
6720,265000.0,4,1.5,1580,8468,2.0,0.0,0.0,4,7,1971,98001,47.334,-122.281,8260,"(47.334, -122.281)",20.1641
6721,600000.0,4,2.5,2710,35009,2.0,0.0,2.0,3,9,1992,98045,47.481,-121.714,35040,"(47.481, -121.714)",31.2908
6722,253000.0,3,1.0,1400,9750,1.0,0.0,0.0,3,7,1968,98198,47.386,-122.304,8050,"(47.386, -122.304)",16.4505
6723,617950.0,4,2.5,2410,7950,2.0,0.0,0.0,3,8,1997,98034,47.718,-122.226,7713,"(47.718, -122.226)",8.8483
6724,385000.0,4,3.25,1790,2460,2.0,0.0,0.0,4,7,2000,98106,47.534,-122.346,4040,"(47.534, -122.346)",6.0791
6725,319000.0,3,2.0,1640,9234,1.0,0.0,0.0,5,7,1967,98118,47.516,-122.274,10354,"(47.516, -122.274)",8.1645
6726,696000.0,3,2.5,1670,8023,1.0,0.0,0.0,5,7,1960,98008,47.615,-122.117,8964,"(47.615, -122.117)",10.9412
6728,380000.0,3,2.5,1610,1778,3.0,0.0,0.0,3,7,2002,98115,47.69,-122.306,2187,"(47.69, -122.306)",5.1636
6731,269950.0,3,1.75,1400,7735,1.0,0.0,0.0,4,7,1989,98038,47.357,-122.04,7754,"(47.357, -122.04)",23.3832
6732,875000.0,4,2.5,3470,32109,2.0,0.0,0.0,3,10,1995,98077,47.731,-122.036,35181,"(47.731, -122.036)",16.5084
6735,430000.0,2,1.0,990,4802,1.0,0.0,0.0,3,7,1947,98117,47.688,-122.395,5000,"(47.688, -122.395)",4.9919
6736,495000.0,5,2.5,2200,4942,2.0,0.0,0.0,3,8,1989,98029,47.577,-122.001,5924,"(47.577, -122.001)",16.6311
6737,275000.0,3,1.5,1510,16200,1.0,0.0,0.0,3,7,1970,98031,47.393,-122.167,13950,"(47.393, -122.167)",18.0122
6738,333000.0,3,1.0,1620,5040,1.0,0.0,0.0,3,7,1964,98118,47.526,-122.286,6178,"(47.526, -122.286)",7.2995
6739,247000.0,3,2.25,1580,7941,2.0,0.0,0.0,4,7,1986,98023,47.284,-122.357,8051,"(47.284, -122.357)",23.348
6740,204555.0,3,1.75,1260,15000,1.5,0.0,0.0,4,7,1983,98092,47.274,-122.153,21715,"(47.274, -122.153)",25.7683
6742,175000.0,3,1.75,1230,13056,1.0,0.0,0.0,4,7,1962,98001,47.317,-122.279,15750,"(47.317, -122.279)",21.3385
6744,286000.0,2,1.0,780,3475,1.0,0.0,0.0,4,5,1930,98045,47.494,-121.789,6769,"(47.494, -121.789)",27.6853
6745,320000.0,2,1.5,1110,1200,3.0,0.0,0.0,3,8,2000,98103,47.693,-122.342,1363,"(47.693, -122.342)",4.9332
6747,385000.0,4,1.75,1660,10757,1.0,0.0,0.0,3,7,1980,98056,47.507,-122.194,8319,"(47.507, -122.194)",10.8204
6748,1040000.0,4,1.0,3410,5000,2.0,0.0,0.0,5,8,1910,98144,47.581,-122.291,5000,"(47.581, -122.291)",3.9979
6749,350000.0,4,2.25,2390,13002,2.0,0.0,0.0,3,8,1987,98023,47.311,-122.35,11200,"(47.311, -122.35)",21.4813
6753,969000.0,4,2.0,2450,5000,2.0,0.0,4.0,5,8,1919,98116,47.562,-122.405,6090,"(47.562, -122.405)",4.8267
6754,339888.0,4,1.75,1440,6144,1.0,0.0,0.0,5,6,1947,98106,47.526,-122.357,5160,"(47.526, -122.357)",6.6307
6755,269950.0,3,2.25,1660,7003,2.0,0.0,0.0,3,7,1996,98030,47.36,-122.188,6680,"(47.36, -122.188)",19.6433
6756,1190000.0,3,2.5,2510,4600,2.0,0.0,2.0,3,10,2006,98034,47.705,-122.223,7500,"(47.705, -122.223)",8.2966
6758,198000.0,3,1.0,860,5185,1.0,0.0,0.0,4,6,1968,98042,47.363,-122.086,5494,"(47.363, -122.086)",21.7683
6759,350000.0,2,1.0,1220,28703,1.0,0.0,0.0,4,7,1953,98056,47.495,-122.172,6720,"(47.495, -122.172)",12.1277
6761,319000.0,4,2.25,2390,7350,2.0,0.0,0.0,3,8,1990,98023,47.294,-122.348,7350,"(47.294, -122.348)",22.6564
6763,394000.0,5,3.25,3620,4650,2.0,0.0,0.0,3,8,2004,98038,47.355,-122.026,4650,"(47.355, -122.026)",23.9021
6764,1340000.0,5,2.25,4200,5800,2.5,0.0,0.0,4,9,1906,98112,47.628,-122.312,5800,"(47.628, -122.312)",1.8962
6766,396000.0,3,1.0,1980,9540,1.0,0.0,0.0,3,7,1949,98133,47.755,-122.353,9529,"(47.755, -122.353)",9.1965
6768,480000.0,3,2.0,1580,7400,1.0,0.0,0.0,3,7,1977,98052,47.672,-122.162,7458,"(47.672, -122.162)",9.4844
6769,535000.0,6,1.75,2460,6000,1.0,0.0,0.0,4,7,1913,98115,47.672,-122.323,4275,"(47.672, -122.323)",3.7104
6770,425000.0,5,2.75,2110,5120,2.0,0.0,0.0,3,7,1947,98106,47.529,-122.357,5120,"(47.529, -122.357)",6.4235
6771,408000.0,3,2.5,1470,1204,3.0,0.0,0.0,3,8,2006,98117,47.7,-122.366,1245,"(47.7, -122.366)",5.4371
6773,310000.0,1,0.75,520,2885,1.0,0.0,0.0,4,6,1947,98117,47.689,-122.378,4241,"(47.689, -122.378)",4.795
6774,292000.0,3,2.5,1950,7421,2.0,0.0,0.0,3,8,1996,98038,47.384,-122.036,4668,"(47.384, -122.036)",22.0754
6775,217000.0,2,1.0,770,9715,1.0,0.0,0.0,4,6,1942,98168,47.492,-122.312,9715,"(47.492, -122.312)",9.1641
6776,398500.0,4,2.5,2250,6064,2.0,0.0,0.0,3,8,2005,98056,47.496,-122.174,7840,"(47.496, -122.174)",12.0133
6779,585000.0,4,2.5,2330,45860,2.0,0.0,0.0,3,9,1989,98075,47.584,-121.992,5020,"(47.584, -121.992)",16.9608
6780,399950.0,3,1.0,1720,8910,1.0,0.0,0.0,4,7,1954,98155,47.774,-122.296,8640,"(47.774, -122.296)",10.8236
6782,212000.0,3,1.0,1040,6800,1.0,0.0,0.0,5,6,1951,98178,47.492,-122.224,6080,"(47.492, -122.224)",10.7708
6784,539000.0,3,2.0,2070,9195,1.0,0.0,0.0,3,8,1982,98074,47.649,-122.061,9551,"(47.649, -122.061)",13.6634
6785,390000.0,3,3.0,1550,1608,2.0,0.0,0.0,3,8,2001,98122,47.604,-122.303,1883,"(47.604, -122.303)",2.5836
6786,560000.0,3,2.5,2020,11935,1.0,0.0,0.0,4,9,1976,98052,47.632,-122.092,12350,"(47.632, -122.092)",12.1133
6787,800000.0,5,2.5,3320,9024,2.0,0.0,0.0,3,9,1999,98075,47.587,-122.056,7665,"(47.587, -122.056)",13.9849
6791,830000.0,4,3.25,3330,7809,2.0,0.0,0.0,3,9,2004,98075,47.598,-121.976,6465,"(47.598, -121.976)",17.5782
6792,224950.0,4,2.5,2260,9686,1.0,0.0,0.0,4,7,1965,98002,47.286,-122.218,9916,"(47.286, -122.218)",24.0344
6793,375000.0,3,2.5,1950,6871,2.0,0.0,0.0,3,8,1997,98155,47.76,-122.307,7663,"(47.76, -122.307)",9.7657
6794,645000.0,3,2.5,2930,19900,1.5,0.0,0.0,3,9,1983,98077,47.723,-122.066,20492,"(47.723, -122.066)",15.016
6795,599000.0,3,2.75,1960,2500,1.5,0.0,0.0,5,7,1926,98103,47.674,-122.353,5000,"(47.674, -122.353)",3.6003
6796,515000.0,4,2.5,2980,12534,2.0,0.0,0.0,3,9,1996,98031,47.4,-122.211,12534,"(47.4, -122.211)",16.6788
6797,135000.0,2,1.0,780,6685,1.0,0.0,0.0,4,5,1948,98002,47.305,-122.215,6695,"(47.305, -122.215)",22.8078
6798,485000.0,3,2.5,1650,4218,2.0,0.0,0.0,3,8,2000,98075,47.6,-122.016,4559,"(47.6, -122.016)",15.71
6799,890000.0,3,3.25,4030,12765,2.0,0.0,0.0,4,9,1975,98005,47.633,-122.166,13447,"(47.633, -122.166)",8.6811
6802,800000.0,2,1.0,1050,8750,1.0,0.0,0.0,4,7,1951,98004,47.629,-122.215,20115,"(47.629, -122.215)",6.3846
6805,310000.0,2,1.0,770,8149,1.0,0.0,0.0,4,6,1948,98155,47.744,-122.301,8149,"(47.744, -122.301)",8.7597
6806,385000.0,1,1.0,620,5100,1.0,0.0,0.0,3,6,1954,98144,47.57,-122.287,2676,"(47.57, -122.287)",4.6847
6809,473975.0,3,2.5,2330,3610,2.0,0.0,0.0,3,8,1999,98074,47.602,-122.021,2948,"(47.602, -122.021)",15.465
6812,580000.0,3,2.0,2040,4800,1.0,0.0,0.0,4,7,1925,98126,47.556,-122.377,4800,"(47.556, -122.377)",4.7034
6813,269500.0,4,2.25,1700,7056,2.0,0.0,0.0,3,7,1999,98001,47.339,-122.262,6025,"(47.339, -122.262)",19.9903
6814,274000.0,2,1.0,820,6200,1.0,0.0,0.0,4,6,1954,98166,47.416,-122.34,14000,"(47.416, -122.34)",14.2368
6815,347000.0,2,1.75,1315,2162,2.0,0.0,0.0,4,8,1974,98028,47.752,-122.253,2128,"(47.752, -122.253)",10.0935
6816,270000.0,3,1.75,1390,10905,1.0,0.0,0.0,3,6,1957,98106,47.552,-122.36,10839,"(47.552, -122.36)",4.8451
6817,1430000.0,3,2.0,1890,12017,1.0,0.0,2.0,3,8,1949,98004,47.62,-122.21,12210,"(47.62, -122.21)",6.6004
6818,220000.0,3,1.75,1460,7226,1.0,0.0,0.0,3,7,1993,98198,47.384,-122.321,7226,"(47.384, -122.321)",16.4997
6819,243000.0,3,1.0,1480,15416,1.0,0.0,2.0,4,8,1955,98022,47.214,-121.987,10758,"(47.214, -121.987)",32.9394
6820,457500.0,3,1.75,1840,4030,1.0,0.0,0.0,5,7,1925,98108,47.555,-122.311,5040,"(47.555, -122.311)",4.9963
6821,340000.0,2,1.75,1880,7208,1.0,0.0,0.0,3,7,1951,98115,47.695,-122.328,8051,"(47.695, -122.328)",5.1698
6822,657500.0,4,1.5,1910,5000,1.5,0.0,0.0,3,7,1912,98105,47.66,-122.29,5000,"(47.66, -122.29)",3.8962
6823,332500.0,4,2.5,2220,4720,2.0,0.0,0.0,3,7,1998,98038,47.354,-122.024,4717,"(47.354, -122.024)",24.0149
6824,340000.0,3,2.0,1410,10015,1.0,0.0,3.0,3,6,1993,98045,47.495,-121.776,10485,"(47.495, -121.776)",28.2387
6825,350000.0,4,3.0,3380,16133,1.0,0.0,1.0,3,8,1959,98118,47.55,-122.261,11100,"(47.55, -122.261)",6.5227
6826,428000.0,4,2.5,1950,5602,1.0,0.0,0.0,5,7,1966,98118,47.544,-122.291,6050,"(47.544, -122.291)",6.0805
6827,515055.0,4,2.5,2400,8320,2.0,0.0,0.0,3,8,1999,98045,47.481,-121.781,9258,"(47.481, -121.781)",28.3381
6828,450000.0,3,1.75,1560,8968,1.0,0.0,0.0,4,8,1972,98008,47.624,-122.1,8034,"(47.624, -122.1)",11.7224
6829,190000.0,3,1.0,1040,8910,1.0,0.0,0.0,3,6,1943,98168,47.502,-122.32,9720,"(47.502, -122.32)",8.4151
6831,299000.0,3,2.5,1850,4600,2.0,0.0,0.0,3,7,2005,98058,47.466,-122.145,4751,"(47.466, -122.145)",14.4557
6833,294000.0,4,2.25,2190,3746,2.0,0.0,0.0,3,8,2005,98038,47.39,-122.034,3591,"(47.39, -122.034)",21.8312
6834,320000.0,2,1.0,1380,5820,1.0,0.0,0.0,3,7,1918,98117,47.688,-122.392,4076,"(47.688, -122.392)",4.9372
6835,641000.0,5,2.75,3710,8674,2.0,0.0,0.0,3,9,1996,98056,47.514,-122.176,8678,"(47.514, -122.176)",11.0756
6838,286651.0,3,2.5,1830,4997,2.0,0.0,0.0,3,7,2004,98001,47.303,-122.283,4998,"(47.303, -122.283)",22.2664
6839,607500.0,4,2.5,2460,45738,1.0,0.0,0.0,4,8,1969,98075,47.595,-122.056,32040,"(47.595, -122.056)",13.8992
6840,765000.0,3,1.0,1270,6500,1.0,0.0,0.0,4,7,1956,98033,47.687,-122.214,7200,"(47.687, -122.214)",7.8297
6841,334950.0,4,1.75,1700,40973,1.0,0.0,0.0,3,8,1961,98031,47.344,-122.198,40973,"(47.344, -122.198)",20.4985
6842,426000.0,3,1.0,1130,9147,1.0,0.0,0.0,5,7,1952,98033,47.701,-122.197,9906,"(47.701, -122.197)",9.0385
6843,775000.0,3,1.75,1640,18730,1.5,0.0,0.0,4,7,1946,98004,47.597,-122.196,12154,"(47.597, -122.196)",7.454
6844,343000.0,2,1.5,1040,8526,1.0,0.0,0.0,5,6,1953,98155,47.735,-122.295,8504,"(47.735, -122.295)",8.2476
6845,470101.0,4,2.5,2320,7800,2.0,0.0,0.0,3,8,1986,98028,47.774,-122.266,5721,"(47.774, -122.266)",11.2394
6847,772500.0,4,1.0,1720,4410,1.5,0.0,2.0,3,7,1928,98117,47.679,-122.402,4500,"(47.679, -122.402)",4.5876
6849,1440000.0,4,3.75,4410,9231,3.0,0.0,3.0,3,11,2001,98118,47.543,-122.265,6600,"(47.543, -122.265)",6.7857
6852,270000.0,3,2.5,1770,8640,1.0,0.0,0.0,3,7,1986,98001,47.326,-122.273,7974,"(47.326, -122.273)",20.7725
6853,406100.0,3,2.25,1410,1332,3.0,0.0,0.0,3,8,2005,98103,47.692,-122.34,1448,"(47.692, -122.34)",4.874
6854,332544.0,2,1.75,1710,4187,1.0,0.0,0.0,3,7,1987,98055,47.473,-122.188,4084,"(47.473, -122.188)",12.8112
6855,110000.0,2,1.0,790,8250,1.0,0.0,0.0,3,6,1947,98188,47.452,-122.286,8250,"(47.452, -122.286)",12.1324
6857,461000.0,4,1.0,1260,8505,1.5,0.0,0.0,5,7,1951,98177,47.718,-122.371,8100,"(47.718, -122.371)",6.7003
6858,615000.0,3,2.25,2300,8067,1.0,0.0,0.0,4,8,1979,98034,47.709,-122.198,9524,"(47.709, -122.198)",9.347
6859,550000.0,2,1.0,1070,3000,1.0,0.0,0.0,4,7,1926,98103,47.683,-122.353,3300,"(47.683, -122.353)",4.222
6860,1060000.0,4,3.5,3850,8100,2.0,0.0,1.0,3,11,1995,98033,47.685,-122.19,9346,"(47.685, -122.19)",8.6975
6862,1560000.0,5,2.5,2870,16238,2.0,0.0,0.0,4,8,1962,98039,47.631,-122.238,16238,"(47.631, -122.238)",5.3318
6863,312000.0,4,2.5,1830,5175,2.0,0.0,0.0,3,7,2003,98038,47.356,-122.016,5175,"(47.356, -122.016)",24.1491
6865,217000.0,3,1.0,1110,9827,1.0,0.0,0.0,3,7,1966,98198,47.369,-122.311,10187,"(47.369, -122.311)",17.5767
6866,439000.0,3,2.25,1830,13477,1.0,0.0,3.0,4,7,1981,98034,47.724,-122.21,11344,"(47.724, -122.21)",9.6554
6867,620000.0,6,3.5,3600,6875,2.0,0.0,0.0,3,8,2004,98065,47.54,-121.879,6663,"(47.54, -121.879)",22.7461
6868,915000.0,4,2.5,3210,8532,2.0,0.0,0.0,3,10,1998,98007,47.625,-122.144,6753,"(47.625, -122.144)",9.6747
6869,425000.0,4,2.0,1490,5300,1.0,0.0,0.0,3,7,1977,98144,47.595,-122.296,1499,"(47.595, -122.296)",3.1916
6870,435000.0,2,1.0,990,5643,1.0,0.0,0.0,3,7,1947,98115,47.68,-122.298,5700,"(47.68, -122.298)",4.7288
6872,276000.0,2,1.0,720,4000,1.0,0.0,0.0,3,6,1918,98106,47.535,-122.353,4000,"(47.535, -122.353)",6.0045
6873,327500.0,3,2.25,2310,7200,2.0,0.0,0.0,3,8,1990,98031,47.405,-122.193,7201,"(47.405, -122.193)",16.7165
6875,715000.0,3,3.25,3060,9055,2.0,0.0,0.0,3,10,1994,98052,47.697,-122.101,9598,"(47.697, -122.101)",12.7687
6876,272000.0,3,1.5,1380,11760,1.0,0.0,0.0,4,7,1963,98055,47.424,-122.202,9855,"(47.424, -122.202)",15.3543
6877,266000.0,2,1.0,700,5559,1.0,0.0,0.0,5,6,1949,98155,47.749,-122.311,8100,"(47.749, -122.311)",8.9835
6879,400000.0,3,2.5,1450,8064,1.0,0.0,0.0,3,8,1984,98074,47.626,-122.037,9554,"(47.626, -122.037)",14.6578
6881,495000.0,3,3.5,2380,6250,2.0,0.0,3.0,3,8,1997,98118,47.514,-122.252,4010,"(47.514, -122.252)",8.7853
6882,424950.0,4,2.5,2760,5564,2.0,0.0,0.0,3,7,2001,98056,47.481,-122.189,5626,"(47.481, -122.189)",12.3426
6883,230000.0,3,1.0,940,10875,1.0,0.0,0.0,3,7,1957,98056,47.512,-122.168,11200,"(47.512, -122.168)",11.4455
6890,255000.0,2,2.0,1360,5433,1.0,0.0,0.0,3,8,1974,98198,47.38,-122.32,5264,"(47.38, -122.32)",16.7791
6892,336000.0,3,3.0,1790,13350,1.0,0.0,0.0,3,7,1988,98178,47.496,-122.262,10624,"(47.496, -122.262)",9.6521
6893,410500.0,3,1.0,1150,6800,1.0,0.0,0.0,3,7,1954,98133,47.727,-122.339,6800,"(47.727, -122.339)",7.2857
6894,502700.0,4,3.5,2710,14016,2.0,0.0,0.0,4,8,1968,98155,47.76,-122.286,27903,"(47.76, -122.286)",10.0191
6895,505000.0,3,2.5,2400,9601,1.0,0.0,0.0,5,7,1977,98034,47.726,-122.211,9943,"(47.726, -122.211)",9.7254
6899,465000.0,3,2.5,2870,25663,2.0,0.0,0.0,3,10,1988,98003,47.277,-122.333,24347,"(47.277, -122.333)",23.8463
6901,655000.0,3,1.75,1800,5102,1.0,0.0,0.0,3,7,1952,98199,47.651,-122.407,5102,"(47.651, -122.407)",3.2667
6903,355000.0,3,2.25,1980,7200,1.0,0.0,0.0,3,8,1964,98177,47.763,-122.36,8250,"(47.763, -122.36)",9.7567
6905,790000.0,4,2.5,3020,36893,2.0,0.0,0.0,3,9,1986,98077,47.768,-122.092,36444,"(47.768, -122.092)",15.7405
6908,710000.0,4,1.75,2120,5400,1.0,0.0,0.0,4,8,1941,98199,47.65,-122.395,6000,"(47.65, -122.395)",2.7989
6909,428040.0,3,2.5,2150,9266,2.0,0.0,0.0,3,8,1988,98028,47.745,-122.248,12550,"(47.745, -122.248)",9.778
6910,1370000.0,5,2.25,3510,13843,1.0,0.0,2.0,3,8,1959,98040,47.582,-122.246,8750,"(47.582, -122.246)",5.6435
6911,546000.0,2,1.0,970,3400,1.0,0.0,0.0,3,7,1924,98109,47.644,-122.357,3600,"(47.644, -122.357)",1.5468
6912,540000.0,4,1.0,1360,5766,1.5,0.0,0.0,5,7,1951,98115,47.683,-122.289,5704,"(47.683, -122.289)",5.1321
6913,435000.0,3,2.5,1470,3000,1.0,0.0,0.0,3,7,1985,98115,47.683,-122.286,5588,"(47.683, -122.286)",5.2127
6914,540000.0,4,2.25,3040,10283,1.0,0.0,0.0,4,8,1984,98074,47.627,-122.038,11074,"(47.627, -122.038)",14.6126
